(250, 181),(129, 223)
(269, 180),(137, 231)
(265, 178),(146, 243)
(271, 178),(149, 247)
(294, 176),(154, 238)
(281, 182),(158, 237)
(268, 173),(246, 194)
(286, 167),(178, 239)
(296, 171),(185, 237)
(286, 157),(189, 251)
(250, 163),(214, 222)
(237, 176),(244, 224)
(233, 184),(268, 216)
(309, 164),(278, 211)
(204, 193),(317, 203)
(228, 188),(333, 199)
(174, 209),(354, 196)
(175, 201),(349, 183)
(226, 181),(353, 179)
(227, 181),(352, 176)
(189, 187),(360, 175)
(189, 186),(365, 178)
(190, 184),(373, 178)
(248, 173),(374, 179)
(283, 172),(369, 179)
(279, 169),(379, 180)
(284, 173),(377, 181)
(299, 168),(374, 182)
(284, 168),(377, 183)
(264, 170),(373, 187)
(221, 175),(358, 202)
(163, 185),(368, 189)
(179, 181),(345, 195)
(187, 177),(333, 194)
(191, 173),(324, 195)
(331, 187),(197, 171)
(325, 191),(300, 199)
(344, 180),(286, 195)
(326, 183),(291, 194)
(340, 178),(270, 195)
(354, 176),(275, 194)
(319, 190),(267, 197)
(344, 186),(247, 201)
(357, 170),(263, 193)
(364, 165),(252, 194)
(390, 151),(254, 188)
(386, 150),(255, 191)
(388, 146),(245, 195)
(376, 150),(245, 195)
(358, 156),(245, 194)
(360, 155),(269, 191)
(348, 161),(274, 189)
(316, 177),(281, 189)
(342, 170),(277, 190)
(343, 170),(275, 190)
(327, 173),(281, 187)
(319, 182),(282, 189)
(322, 181),(285, 189)
(311, 184),(286, 190)
(311, 182),(221, 162)
(301, 185),(287, 189)
(299, 185),(288, 190)
(300, 187),(286, 189)
(305, 183),(283, 189)
(301, 183),(282, 190)
(283, 186),(294, 186)
(287, 184),(281, 190)
(274, 185),(291, 190)
(260, 180),(284, 188)
(248, 184),(283, 189)
(264, 188),(279, 192)
(276, 188),(289, 195)
(236, 188),(295, 188)
(233, 193),(303, 192)
(236, 187),(295, 188)
(222, 186),(294, 188)
(222, 186),(291, 190)
(201, 194),(305, 192)
(200, 194),(294, 194)
(211, 191),(282, 193)
(212, 193),(294, 194)
(210, 194),(292, 193)
(229, 194),(291, 191)
(265, 190),(262, 198)
(252, 193),(257, 201)
(260, 189),(249, 200)
(236, 183),(287, 191)
(253, 184),(255, 193)
(238, 195),(248, 204)
(240, 193),(244, 205)
(227, 196),(239, 205)
(229, 194),(238, 206)
(234, 195),(243, 206)
(230, 194),(241, 205)
(223, 190),(237, 205)
(221, 186),(234, 205)
(222, 192),(230, 205)
(231, 186),(230, 204)
(259, 177),(226, 199)
(256, 179),(223, 197)
(253, 177),(216, 195)
(220, 189),(215, 192)
(213, 191),(212, 197)
(219, 184),(207, 198)
(216, 186),(193, 197)
(218, 185),(178, 200)
(211, 190),(164, 210)
(200, 191),(189, 199)
(200, 190),(147, 209)
(197, 189),(152, 207)
(180, 187),(155, 207)
(172, 190),(150, 206)
(172, 190),(159, 201)
(167, 191),(164, 200)
(164, 193),(162, 204)
(165, 189),(160, 204)
(161, 193),(155, 205)
(157, 196),(158, 208)
(162, 194),(165, 204)
(154, 194),(165, 204)
(157, 194),(166, 205)
(156, 196),(165, 207)
(163, 197),(165, 209)
(161, 198),(158, 207)
(175, 188),(155, 207)
(182, 188),(157, 214)
(177, 194),(158, 215)
(172, 194),(150, 217)
(171, 200),(146, 219)
(174, 199),(141, 218)
(174, 199),(141, 215)
(174, 200),(141, 216)
(180, 195),(133, 222)
(181, 195),(123, 223)
(184, 187),(125, 223)
(190, 181),(123, 223)
(171, 194),(118, 227)
(175, 189),(118, 226)
(169, 195),(116, 230)
(170, 195),(111, 227)
(154, 204),(104, 231)
(155, 205),(104, 230)
(166, 195),(102, 229)
(185, 184),(104, 225)
(171, 191),(104, 225)
(168, 193),(104, 224)
